,LWSD1_SST,LWSD1_TEMP
0,19.387526448567712,19.122267659505212
1,19.387526448567712,20.969898478190146
2,19.387526448567712,21.930413818359398
3,19.387526448567712,23.137053426106775
4,19.387526448567712,24.295948282877646
5,19.387526448567712,24.64184977213546
6,19.387526448567712,24.90699157714846
7,19.387526448567712,24.58930358886721
8,19.387526448567712,23.733778889973962
9,19.387526448567712,23.50629069010421
10,19.387526448567712,23.233977254231775
11,19.387526448567712,22.65362447102865
12,19.387526448567712,22.521208699544275
13,19.387526448567712,21.627231852213583
14,19.387526448567712,21.308099365234398
15,19.387526448567712,20.88399149576827
16,19.387526448567712,20.509495035807333
17,19.387526448567712,19.96235046386721
18,19.387526448567712,19.894377644856775
19,19.387526448567712,20.23719177246096
20,19.387526448567712,19.662204996744833
21,19.387526448567712,19.50647888183596
22,19.387526448567712,19.54449869791671
23,19.387526448567712,19.604216512044275
24,19.387526448567712,19.568393961588583
25,19.387526448567712,19.708362833658896
26,19.387526448567712,19.615838623046898
27,19.387526448567712,19.607690429687523
28,19.387526448567712,20.191094970703148
29,19.387526448567712,20.42578531901046
30,19.387526448567712,21.036157226562523
31,19.387526448567712,21.41748962402346
32,19.387526448567712,22.64319254557296
33,19.387526448567712,20.17378641764327
34,19.387526448567712,21.24018249511721
35,19.387526448567712,20.801202392578148
36,19.387526448567712,20.233056640625023
37,19.387526448567712,19.994907633463583
38,19.387526448567712,19.648721313476585
39,19.387526448567712,19.450453694661462
40,19.387526448567712,19.554335530598962
41,19.387526448567712,19.604521687825525
42,19.387526448567712,19.58838297526046
